*sheet 1
70-5049 9 1.44
70-5085 6 4.80
70-5087 1 1.23
70-5088 1 1.80
70-5153 6 4.20
70-5156 1 0.45
70-5232 4 0.30
70-5342 7 24.00
70-5451 4 0.82
70-5660 51 0.88
70-5861 1 11.60
70-5874 2 2.38
70-5881 20 0.36
70-5963 45 0.84
*sheet 42
71-2246 3 5.57
71-2249 16 0.04
71-2343 4 1.35
71-2349 6 0.90
71-2480 18 0.92
71-2481 5 0.65
71-2482 10 0.72
71-2574 1 0.32
71-2575 2 8.26
71-2576 6 4.00
71-2653 2 6.06
71-2660 4 0.09
71-2663 3 1.55
71-2792 73 0.12
71-2800 3 1.68
71-2811 1 3.80
71-2812 2 3.80
71-2813 3 0.81
71-2872 4 1.61
71-2930 4 1.55
71-3006 2 72.80
71-3013 3 0.52
71-3296 4 0.72
71-3313 1 0.49
71-3329 2 10.68
71-3330 1 4.09
71-3338 1 4.45
71-3339 1 4.45
71-3450 9 1.60
71-3463 2 4.10
*sheet 43
71-3668 1 33.60
71-3544 1 1.16
71-3549 2 17.55
71-3550 1 8.16
71-3551 2 1.46
71-3552 27 1.79
71-3553 3 0.45
71-3573 10 0.32
71-3581 9 1.52
71-3654 9 1.70
71-3661 20 0.48
71-3662 20 0.36
71-3666 2 17.78
71-3671 5 3.23
71-3673 128 0.36
71-3681 2 2.40
71-3700 44 0.30
71-3754 48 0.19
71-3811 5 11.60
71-3817 2 2.90
71-3892 9 0.24
71-3910 31 0.18
71-3947 16 0.80
71-4000 9 6.28
71-4044 3 0.44
71-4139 1 7.25
71-4542 42 0.80
71-4619 11 6.00
*sheet 44
71-7008 1 19.14
71-7013 9 6.54
71-7015 1 1.68
71-7017 1 44.00
71-7019 16 2.80
71-7043 1 11.89
71-7045 2 1.12
71-7048 4 4.10
71-7058 1 2.05
71-7103 6 0.49
71-7120 8 6.31
71-7121 28 2.70
71-7159 6 3.90
71-7194 3 12.49
71-7196 12 0.56
71-7202 14 4.30
71-7223 10 0.78
71-7233 2 26.71
71-7259 16 1.44
71-7263 12 0.63
71-7285 20 1.10
71-7287 10 0.28
71-7317 1 52.40
71-7328 3 0.56
71-7341 10 1.63
71-7346 16 4.20
71-7347 16 4.20
71-7349 1 35.86
71-7350 2 12.80
71-7353 5 3.60
*sheet 45
71-7364 10 4.80
71-7367 200 0.92
71-7376 2 2.94
71-7377 2 2.94
71-7472 2 14.34
71-7473 2 11.00
71-7489 9 1.97
71-7492 9 2.78
71-7494 6 4.45
71-7506 11 4.30
71-7555 1 17.77
71-7564 4 4.79
71-7566 6 3.12
71-7619 1 35.62
71-7621 1 26.71
71-7628 10 4.23
71-7691 2 8.20
71-7679 5 17.39
71-7690 2 8.20
71-7701 6 0.90
71-7709 4 14.70
71-7718 4 1.20
71-7758 2 9.40
71-9907 4 1.50
72-0004 20 3.17
72-0025 2 33.95
72-0026 3 4.41
72-0027 7 0.64
72-0038 29 2.80
72-0039 1 25.81
72-0040 1 25.81
76-0291 10 1.90
82-0839 16 1.10
*sheet 46
82-0879 17 0.18
82-0907 15 0.30
82-0977 19 1.28
82-1335 39 0.31
82-1511 12 0.08
82-1680 45 1.17
82-1711 11 1.08
82-1713 15 0.17
82-1747 2 1.73
82-1808 20 1.44
82-1880 58 0.12
82-1953 47 0.58
82-2277 52 0.22
82-2414 47 1.12
82-3096 50 0.41
82-2725 14 0.48
82-3098 4 0.35
82-3158 4 0.94
82-3182 28 0.72
82-3217 2 1.38
82-3227 19 0.53
82-3353 16 0.84
82-3564 2 13.50
82-3617 11 2.05
82-3665 20 2.44
82-3667 44 2.77
82-3690 12 2.44
82-3767 18 2.80
82-3769 31 1.32
82-3780 16 0.80
*sheet 47
82-3808 12 0.22
82-3875 13 2.00
82-4076 4 2.44
82-4129 8 0.38
82-4222 4 4.00
82-4228 1 0.20
82-4671 13 0.80
82-4681 23 1.38
82-4717 11 0.22
82-4771 12 0.28
82-5087 1 3.20
82-5088 1 3.20
82-5228 51 0.45
82-4783 2 3.16
82-5229 8 0.42
82-5313 3 1.60
82-5343 6 1.10
82-5678 2 1.44
82-5943 10 0.28
82-5753 4 0.26
82-6039 11 0.55
82-6310 9 0.14
82-6409 3 13.60
82-6410 3 10.30
82-6411 6 2.70
82-5413 50 0.09
82-6498 45 1.44
82-6784 57 0.36
82-6850 2 1.15
82-6866 1 4.50
82-7021 7 1.13
*sheet 48
82-7270 6 1.12
82-7342 1 9.60
82-7343 53 0.18
82-7387 3 1.60
82-7388 7 1.49
82-7389 12 0.44
82-7510 18 0.98
82-7560 3 2.99
82-7703 1 14.50
82-7835 19 0.67
82-7848 8 1.40
82-7888 12 0.30
82-8031 3 0.92
82-8034 20 0.36
82-8090 8 0.44
82-8192 1 4.46
82-8245 11 0.06
82-8382 7 0.86
82-8475 4 5.50
82-8592 22 0.24
82-9046 18 0.22
82-9063 10 0.90
82-9093 7 0.50
82-9351 28 0.44
82-9371 30 0.32
82-9381 6 0.46
82-9387 16 1.10
82-9353 5 1.00
*sheet 49
82-9430 3 5.80
82-9435 9 1.12
82-9562 3 1.48
82-9565 4 0.86
82-9664 2 0.74
82-9915 2 8.90
83-0006 5 0.32
83-0031 1 10.00
83-0032 1 10.00
83-0260 3 0.76
83-1339 2 0.30
83-1357 21 1.49
83-1377 46 0.09
83-1549 37 0.42
83-1590 2 11.20
83-1591 2 11.20
83-1598 26 0.20
83-2007 32 0.24
83-2035 1 4.80
83-2209 10 0.25
83-2210 10 0.90
83-2244 40 0.87
83-2266 2 0.11
83-2508 2 0.68
83-2626 38 2.80
83-2656 3 2.70
83-2690 1 0.90
83-2689 2 0.98
83-2796 2 1.09
83-2829 89 0.44
*sheet 50
83-2846 7 1.20
